,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
76,0.25,1.0,0.0,0.0,0.25,4.800000000000001,1.75,0.25,0.5,0.0,0.18101946869256025
77,0.5,0.0,0.5,0.0,0.5,3.8000000000000003,0.5,0.75,0.25,0.75,0.00856546781993163
78,1.0,0.75,0.5,0.0,0.25,1.4,0.0,0.5,0.75,0.25,0.003950925796147399
79,0.75,0.0,0.0,0.25,0.25,3.0,2.0,0.0,0.5,0.0,0.02484961920418597
80,0.5,0.25,0.25,0.25,1.25,1.2,0.25,0.25,0.0,0.0,0.0987573249735739
81,0.25,0.5,0.5,0.75,0.0,4.800000000000001,0.0,0.0,0.25,1.0,0.14994964630457777
82,2.25,1.0,0.0,0.0,0.25,2.8,0.0,0.0,0.0,0.25,0.0004718473536299535
83,0.5,0.0,0.5,0.75,1.25,1.6,0.0,0.75,0.0,0.25,0.004484971562807605
84,0.5,0.25,0.25,0.0,1.25,2.2,0.75,0.25,0.0,0.5,0.0693251946950723
85,0.0,0.0,0.25,0.5,0.25,2.8,1.25,0.75,0.0,0.25,0.02927350588828683
86,0.25,0.75,0.0,0.75,0.5,2.6,0.25,0.0,0.75,0.75,1.4096223137739958
87,0.5,0.0,0.25,0.0,0.0,2.2,0.5,0.75,1.75,0.25,0.0004972810586259164
88,0.25,0.5,0.0,0.0,0.0,3.6,0.5,0.0,2.0,0.0,0.11757190810137237
89,0.5,0.0,1.0,0.5,0.25,4.4,0.25,0.0,0.0,0.75,0.0264923221934373
90,0.25,0.5,0.5,0.5,1.0,4.4,0.0,0.0,0.5,0.5,0.06285675416703344
91,0.25,0.0,0.25,0.25,0.0,1.4,0.75,1.25,1.25,0.0,0.000256039177802943
92,0.0,0.5,0.0,0.5,0.5,3.0,0.0,0.75,0.75,0.5,0.25329999156602284
93,0.5,0.5,0.0,0.5,1.5,3.4000000000000004,0.0,0.0,0.0,0.25,0.4867078719059296
94,0.25,0.0,0.0,0.0,1.0,2.8,0.0,0.25,0.75,1.25,0.12771380450287512
95,1.5,0.5,0.25,0.25,0.5,2.4000000000000004,0.0,0.75,0.25,0.0,0.004146229631364617
96,0.5,0.75,0.0,0.25,1.25,1.4,1.0,0.0,0.5,0.0,0.22789966898356678
97,0.25,0.0,1.0,0.25,1.0,3.2,1.25,0.0,0.0,0.0,0.0025632489882587983
98,0.75,0.0,0.75,0.0,0.0,4.2,0.0,0.25,0.25,1.5,0.022871924763300078
99,1.25,0.0,0.0,0.0,0.25,1.8,0.5,0.0,0.5,0.5,0.10595303107750757
100,1.25,0.0,0.25,1.25,0.0,4.6,0.0,0.25,0.5,0.0,0.0068160404387502555
101,0.0,0.0,0.0,1.0,0.0,4.0,0.25,0.5,1.25,0.75,0.02746534352114607
102,1.0,0.25,0.5,0.5,0.25,2.8,0.0,0.25,0.75,0.5,0.00966178460404308
103,0.0,0.75,1.0,0.5,0.25,2.8,0.0,0.0,0.5,0.25,0.03205184105182292
104,0.0,0.5,1.0,0.5,0.0,2.2,0.5,0.25,0.0,0.5,0.04092180264052619
105,0.0,0.25,0.25,0.75,0.0,4.6,0.0,0.5,1.25,0.0,0.010333746034379278
106,0.5,0.5,0.25,0.5,0.25,1.0,0.0,0.0,1.0,0.25,0.049577651178228356
107,0.0,0.75,1.0,0.0,1.25,2.8,0.0,0.0,0.0,0.5,0.009553429777879647
108,2.0,0.0,0.0,0.25,0.0,4.0,0.75,0.5,0.0,0.25,0.000404911179769287
109,0.0,0.5,1.5,0.5,0.75,1.4,0.0,0.0,0.25,0.0,0.0023310121025711416
110,0.25,0.0,0.0,0.0,1.25,1.8,0.25,0.0,0.0,2.0,0.5883516290897006
111,0.0,0.25,0.0,1.75,0.0,2.2,0.0,1.0,0.75,0.25,0.027039469592697513
112,0.25,0.5,0.0,0.0,0.0,2.8,0.0,0.0,1.25,2.0,0.07676903465440274
113,1.0,0.0,0.0,0.25,1.5,4.4,0.5,0.0,0.0,0.5,0.01983516743930165
114,0.0,0.0,0.5,0.25,0.0,4.800000000000001,0.75,1.0,0.5,0.75,0.0023756324803927203
115,1.25,0.0,0.75,0.0,0.0,1.4,0.0,0.0,0.5,0.0,0.0033532262386496425
116,1.25,0.0,0.0,2.0,0.5,2.2,0.25,0.0,0.0,0.0,0.011404473151122332
117,0.25,0.25,0.75,0.0,0.25,1.2,0.0,0.0,1.5,0.5,0.002727188616142246
118,1.5,0.25,0.25,0.5,0.25,4.4,0.0,0.0,0.25,0.25,0.007588635693897076
119,1.25,0.25,0.0,0.25,0.0,1.0,0.5,0.0,1.25,0.0,0.017671510869138932
120,0.0,0.0,0.25,0.25,0.0,4.2,0.25,0.0,0.5,2.0,0.16548493628778235
121,0.5,0.0,0.0,0.5,0.25,3.4000000000000004,1.75,0.25,0.5,0.0,0.047569727153992866
122,0.75,1.0,0.0,0.0,0.0,4.800000000000001,0.5,0.75,0.25,0.5,0.02196983214216717
123,0.0,0.5,0.25,0.75,0.25,4.6,0.0,1.25,0.0,0.5,0.0043154058006559925
124,1.0,0.0,0.0,0.75,0.0,4.2,0.0,0.0,0.25,1.5,0.045070567849093066
125,0.0,0.25,0.0,0.0,0.5,2.8,1.5,0.5,0.0,0.75,0.10232012994608977
126,0.0,0.25,0.5,0.0,0.0,2.6,1.0,1.0,0.25,0.0,0.0039737126681396616
127,1.0,0.25,0.0,0.0,0.75,4.0,1.25,0.0,0.25,0.25,0.03382219735073548
128,0.0,0.25,0.75,0.75,0.0,2.2,0.25,0.25,0.25,0.75,0.02495033535633763
129,0.0,0.25,1.25,0.0,0.75,3.8000000000000003,0.5,0.25,0.0,1.0,0.008933134750990342
130,0.0,0.25,0.25,0.25,0.75,1.4,0.75,1.0,0.0,0.0,0.011767266749303487
131,0.0,0.25,2.25,0.0,0.0,2.4000000000000004,0.25,0.25,0.0,0.25,0.0005046857701588674
132,1.25,0.0,0.0,0.0,1.25,4.6,0.0,0.0,0.5,0.0,0.04138066696112329
133,0.25,0.25,0.0,0.0,0.5,3.8000000000000003,1.0,0.5,0.75,0.25,0.051660008662278246
134,0.0,0.0,0.25,0.75,0.75,1.2,0.25,0.5,0.25,0.75,0.03113204594640606
135,0.75,0.0,0.0,0.75,0.0,3.4000000000000004,0.25,0.25,1.0,0.75,0.10540860843056293
136,0.0,0.0,1.5,0.75,0.25,3.0,0.5,0.0,0.0,0.5,0.0011332308804033826
137,0.25,0.25,0.0,0.25,0.0,2.4000000000000004,2.0,0.5,0.5,0.0,0.019573445814525425
138,1.5,0.5,0.0,0.0,0.0,3.8000000000000003,0.5,0.0,0.25,0.5,0.01604765665495361
139,0.75,0.0,0.25,1.0,0.0,2.0,0.0,0.5,0.0,0.0,0.020533774401378543
140,0.5,0.25,0.0,0.5,0.25,4.2,0.0,0.0,0.25,1.0,0.5421071353353775
141,0.75,0.0,0.5,0.25,1.0,1.4,0.25,0.0,1.0,0.25,0.0054211044990612935
142,0.5,0.0,0.0,0.0,0.0,1.8,0.25,1.25,1.0,0.75,0.00207246966118882
143,0.0,2.25,0.75,0.25,0.0,3.8000000000000003,0.0,0.0,0.25,0.0,0.02383494245331142
144,0.25,0.25,0.0,0.0,0.0,3.0,0.0,1.0,0.75,1.0,0.048405805895478694
145,0.25,0.5,0.25,0.25,0.5,1.0,0.75,0.5,0.0,0.5,0.03970684402819412
146,0.25,1.25,0.5,0.0,0.0,1.4,0.25,0.0,1.25,0.0,0.020364553897907554
147,0.0,0.25,0.0,1.5,0.0,4.6,0.0,1.25,0.0,0.5,0.015251702349367851
148,0.25,0.0,0.0,0.25,0.0,3.4000000000000004,0.5,0.5,1.75,0.5,0.013784597906614435
149,0.0,0.0,0.75,0.0,0.25,2.0,1.25,0.0,0.25,0.25,0.010571015097634468
150,0.5,0.75,0.75,0.0,0.0,4.6,0.5,0.0,0.75,0.5,0.042735533170269666
151,0.0,0.25,0.0,0.75,0.25,4.4,0.5,0.0,1.0,0.5,1.8853097582416347
152,0.5,0.75,0.25,0.0,0.0,3.2,0.25,0.75,0.0,0.25,0.061551923197798064
153,0.25,0.0,0.25,0.0,0.25,4.6,1.25,1.25,0.0,0.5,0.0011182935002795214
154,0.0,0.0,1.25,0.0,1.75,4.800000000000001,0.0,0.0,0.25,0.0,0.00011110467048191651
155,0.0,0.0,0.5,0.0,0.25,2.4000000000000004,0.0,0.5,0.5,1.25,0.006393946355511859
156,0.25,0.0,0.5,0.75,0.0,4.800000000000001,0.0,0.0,0.75,1.25,0.01990717813641266
157,0.5,0.5,0.0,0.0,0.25,4.0,0.5,0.5,0.0,0.25,0.09829826233592984
158,0.5,0.0,0.0,0.0,0.5,4.800000000000001,1.75,1.0,0.0,0.0,0.0023312961927845627
159,0.0,0.5,0.0,0.25,0.5,2.6,0.0,1.25,0.75,0.25,0.005593038228739717
160,0.5,0.0,0.25,0.25,0.25,4.0,0.25,0.5,0.75,0.25,0.024193322270825324
161,0.5,0.25,0.0,0.25,0.0,2.4000000000000004,1.75,0.0,0.25,0.75,0.1677149288720819
162,0.0,0.75,0.0,0.0,1.0,3.6,1.5,0.0,0.25,0.25,0.7960385216717989
163,0.0,0.25,0.25,0.25,0.0,4.6,1.5,0.5,0.5,0.0,0.021889360705577017
164,0.25,0.0,0.5,0.75,0.0,4.4,1.25,0.25,0.0,0.5,0.021686406462537673
165,0.0,0.25,0.0,0.25,1.25,1.8,0.5,0.5,0.0,0.5,0.059834154445314564
166,0.25,0.75,0.0,3.25,0.0,1.2,0.0,0.0,0.0,0.0,0.4066758097634955
167,0.25,0.0,0.25,0.25,1.5,4.800000000000001,0.75,0.0,0.5,0.0,0.11501122878458432
168,0.0,1.25,0.0,1.25,0.0,1.0,0.5,0.25,0.25,0.0,0.4496697135211672
169,0.25,0.75,1.0,0.0,1.0,1.2,0.75,0.0,0.0,0.25,0.006604817536414145
170,0.25,0.0,0.25,0.25,1.0,1.4,0.0,1.0,0.75,0.25,0.007604101178250198
171,1.25,0.0,0.25,0.25,0.75,2.8,1.25,0.0,0.25,0.0,0.0034715393768693604
172,0.0,1.0,0.0,0.25,0.0,1.6,1.5,0.0,0.5,0.75,0.8376964284004141
173,0.0,0.5,0.0,0.5,0.5,3.8000000000000003,0.5,0.5,1.5,0.0,0.020512504148075893
174,0.0,2.25,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,5.64618226383649
175,0.25,0.0,1.75,0.0,1.0,2.0,0.0,0.5,0.5,0.25,6.52141954671359e-05
176,2.0,0.5,0.25,0.0,0.0,3.0,0.25,0.0,0.5,0.0,0.0007795725936053605
177,1.0,0.0,0.0,0.0,0.0,3.6,0.5,0.75,0.25,1.25,0.007978540565382174
178,0.5,0.5,0.25,0.25,0.25,4.6,0.0,1.5,0.25,0.25,0.0016984160698916876
179,0.0,1.5,0.0,0.0,0.0,1.2,0.0,0.25,1.0,1.0,0.08430444274097215
180,0.0,0.25,0.0,0.25,0.25,1.2,0.75,0.0,1.5,0.25,0.09407726272631882
181,0.0,0.5,0.5,0.0,0.75,3.4000000000000004,0.0,0.25,1.25,0.25,0.011130054408408533
182,0.0,0.0,0.25,0.5,0.0,3.6,0.25,0.0,2.0,0.75,0.011835081001164925
183,0.5,0.25,0.0,0.25,0.75,3.4000000000000004,0.5,0.25,0.0,0.5,0.3284587342513354
184,0.75,0.25,0.0,0.0,0.25,1.2,0.0,0.25,0.0,1.75,0.060475717551027014
185,0.0,0.0,0.5,0.5,0.5,3.8000000000000003,0.0,0.0,0.25,0.0,0.22632139020182476
186,0.25,0.25,0.0,1.0,0.0,3.0,0.25,0.25,0.25,0.75,0.5261472795688598
187,0.0,0.25,0.5,0.5,0.25,3.6,0.25,0.0,0.25,1.5,0.12406052860426584
188,0.25,0.75,0.0,0.0,0.0,1.0,0.75,0.75,0.5,0.5,0.06774667506728733
189,0.25,0.75,0.0,0.0,0.5,3.4000000000000004,0.75,1.0,0.0,1.0,0.02920170802673113
190,0.75,0.0,2.25,0.5,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0015093752447304458
191,0.0,0.0,1.75,1.5,0.25,1.8,0.25,0.0,0.0,0.0,0.0005533939153354405
192,0.25,0.0,0.0,0.25,0.0,2.2,1.75,0.25,0.25,1.0,0.11123960273686656
193,0.25,0.5,0.0,0.5,0.5,4.6,0.5,0.5,1.0,0.25,0.08150671787865835
194,0.5,0.25,0.25,0.25,0.75,1.2,0.0,0.25,0.25,1.0,0.1023335654546168
195,0.25,0.25,0.25,2.0,0.0,3.0,0.5,0.75,0.0,0.0,0.028399554533767888
196,0.75,0.75,0.5,0.0,0.5,3.8000000000000003,0.25,0.25,0.5,0.25,0.046554087217981766
197,0.25,0.25,0.0,1.0,1.25,2.0,0.0,0.0,0.0,0.5,2.038269753845184
198,0.0,0.0,0.5,0.75,2.25,3.0,0.0,0.0,0.0,0.0,0.01135725646268268
199,0.5,0.0,0.0,0.75,1.0,2.2,0.25,0.0,0.25,0.5,0.33187250486320197
200,0.25,0.0,0.75,1.0,1.0,2.8,1.0,0.0,0.0,0.0,0.012050606656873769
201,0.25,1.75,0.25,0.25,0.5,2.4000000000000004,0.25,0.25,0.0,0.25,0.3544662269027018
202,0.5,0.75,0.75,0.0,0.0,2.6,0.0,0.25,0.75,0.25,0.017774936594262852
203,0.75,0.0,0.0,0.25,1.0,2.2,0.5,0.0,1.5,0.0,0.034814368645607954
204,0.0,0.5,0.25,0.0,0.5,1.2,0.5,0.5,1.0,0.0,0.02388480552619488
205,0.0,0.25,0.25,0.5,0.25,1.8,0.0,1.25,0.0,0.75,0.0039880622369779335
206,0.25,0.0,0.25,0.5,1.0,3.2,0.0,0.0,0.25,1.0,0.34626388501748556
207,1.0,0.5,0.0,1.0,0.25,4.6,0.25,0.5,0.25,0.25,0.02820615074500883
208,0.0,0.0,0.5,0.0,0.0,2.6,0.75,0.5,1.75,0.25,0.00043218074253046094
209,0.0,0.25,0.25,0.0,1.0,2.0,0.25,0.5,0.75,0.25,0.03604169485901542
210,0.0,1.0,0.25,1.0,0.0,1.2,0.0,0.25,0.75,0.5,0.07523203077931712
211,0.0,0.5,0.0,0.0,0.75,1.4,1.5,0.0,0.25,0.0,0.47369650950228825
212,0.25,0.5,0.0,0.5,0.25,1.2,0.0,0.0,0.25,1.75,1.6418527857426333
213,0.0,0.5,0.0,0.25,0.25,1.4,0.0,0.5,0.5,1.0,0.08452930236332995
214,0.25,0.5,0.25,0.25,1.25,4.6,0.0,0.25,0.0,0.75,0.29045912197507257
215,0.75,0.5,0.25,0.0,0.5,1.0,0.0,0.0,0.75,1.25,0.053314369079467835
216,0.75,1.5,0.25,0.0,0.0,1.6,0.0,0.5,0.0,0.75,0.01889689057431758
217,0.5,0.5,0.25,0.0,0.0,3.8000000000000003,0.25,1.0,0.0,1.25,0.021149333408488232
218,0.0,0.0,0.0,0.25,0.0,1.2,0.0,0.5,1.75,1.0,0.004681765574437112
219,0.25,0.25,0.5,0.5,0.0,1.4,0.5,0.25,1.75,0.0,0.0018778946825065122
220,0.25,0.25,0.0,0.0,0.5,2.4000000000000004,0.0,0.0,1.75,1.0,0.03674321834324622
221,0.25,0.75,0.0,0.0,0.0,2.0,0.75,0.0,0.0,1.5,1.0177926534235553
222,0.5,0.25,0.0,0.5,1.75,2.0,0.25,0.0,0.0,0.5,0.25820068036033517
223,0.0,0.25,0.5,0.0,0.75,3.0,0.0,1.5,0.25,1.0,0.00032184182357698434
224,0.25,0.0,0.0,1.0,0.75,2.2,0.5,0.5,0.25,0.25,0.10926102940410946
225,0.5,0.25,0.25,0.0,0.25,2.4000000000000004,0.25,0.0,1.0,0.75,0.07844953557328861
226,0.0,0.75,0.5,0.75,0.0,2.8,0.0,0.5,0.0,0.75,0.012756038664598398
227,0.0,1.25,1.25,0.25,1.0,4.0,0.0,0.25,0.25,0.0,0.012368425806754494
228,0.0,0.5,0.0,1.0,0.75,2.6,0.25,0.25,0.25,0.5,1.5459737057361007
229,0.25,0.0,0.5,0.25,0.5,3.0,0.0,0.25,1.5,0.5,0.004977475816913478
230,0.0,0.0,0.75,0.5,0.25,2.2,0.25,0.75,0.5,0.5,0.004370854302111106
231,0.0,0.5,0.25,1.0,0.0,1.0,0.5,0.75,0.25,0.25,0.024618082301621335
232,1.0,0.0,1.0,0.75,0.25,2.4000000000000004,0.0,0.0,0.0,0.25,0.01779757735575434
233,0.0,0.75,0.75,0.25,0.0,2.6,0.25,0.75,0.5,0.0,0.004114708544999505
234,0.25,0.75,0.0,0.5,0.0,4.2,0.0,0.25,2.0,0.25,0.03410267458164846
235,0.25,0.0,0.25,0.5,0.25,1.8,0.25,1.0,0.0,0.25,0.03436784679834622
236,1.0,0.25,0.0,0.5,0.0,2.8,0.0,0.5,0.5,0.75,0.022000044201627503
237,0.5,0.25,0.75,0.0,0.0,3.8000000000000003,0.0,0.25,0.5,0.0,0.026725676726089206
238,0.75,0.0,0.25,0.75,0.25,2.8,0.25,0.75,0.0,0.25,0.03289346088750039
239,0.25,0.0,0.25,0.0,0.5,4.2,1.0,0.5,0.5,0.25,0.026049965944015353
240,0.5,0.0,0.0,1.5,0.5,4.4,0.5,0.0,0.5,0.25,0.4012174264951525
241,0.25,0.5,1.5,0.25,0.75,3.6,0.0,0.25,0.25,0.5,0.002275332531125744
242,0.0,0.75,0.0,0.75,0.0,3.8000000000000003,0.25,0.25,0.25,0.5,1.3538590696090482
243,1.0,0.0,0.0,1.0,0.25,1.2,0.75,0.75,0.0,0.0,0.009319360597115361
244,0.5,0.25,0.5,0.0,0.5,2.8,0.75,0.5,0.0,0.5,0.07533068093038398
245,0.75,0.0,0.0,0.25,1.0,1.0,0.0,0.0,1.25,0.25,0.04053646376322598
246,0.25,0.25,0.5,0.0,0.0,1.8,1.25,0.0,0.0,0.25,0.0265345728230143
247,0.75,0.0,0.75,1.5,0.0,2.2,0.0,0.75,0.0,0.0,0.0027416953869035727
248,0.25,1.0,0.0,0.75,0.25,1.6,0.75,0.75,0.25,0.0,0.11987203741140239
249,0.25,0.0,1.25,0.0,0.75,3.6,0.0,0.0,0.5,0.75,0.007182831648040318
250,0.25,0.25,0.0,1.25,2.0,2.0,0.25,0.0,0.0,0.0,0.5418282498692941
251,1.0,0.5,0.25,0.0,1.25,3.0,1.0,0.0,0.0,0.0,0.011461315258875778
252,0.0,0.75,0.25,1.0,0.0,1.6,0.25,0.0,0.75,0.0,0.2020214853309682
253,0.25,0.25,0.0,0.75,0.5,3.2,0.0,0.0,0.0,0.25,3.567880215435398
254,0.0,0.75,1.0,0.25,0.25,3.2,0.25,0.0,0.0,0.25,0.034607328544761874
255,1.75,0.0,0.75,0.0,0.0,4.2,0.0,0.5,0.0,0.0,0.0001863923653159636
256,0.5,0.25,0.5,0.25,0.25,2.4000000000000004,0.0,0.25,0.5,1.5,0.0420347709299741
257,0.25,0.25,0.5,0.25,0.25,4.2,1.5,0.75,0.25,0.0,0.004051636150991662
258,0.25,0.0,0.0,0.5,1.5,3.4000000000000004,0.75,0.0,0.25,0.5,0.7293813362481185
259,0.0,1.0,1.0,0.25,0.5,3.2,0.25,0.0,0.25,0.25,0.03523782586938014
260,0.0,1.5,0.0,0.0,0.75,3.8000000000000003,0.0,0.25,0.75,0.0,0.4577157841752601
261,0.75,0.75,0.0,0.0,0.0,4.0,0.75,0.25,0.0,0.0,0.18797878654791617
