x1,x2,x3,x4,x5,target,model_name,level,iteration
0.7699224,0.06501297,0.0051682633,0.043584358,0.011994911,-1.8296118,Good,Local,47
0.8014946,0.09949939,-0.04274655,0.106011115,-0.0043558404,-1.9532557,Good,Local,48
0.7758693,0.10008182,-0.001003422,0.12401435,-0.093190625,-2.075282,Good,Local,49
-4.6299553,0.66164327,4.5556755,4.1561413,-4.0529695,-12.685141,Global,Global,50
0.8308691,6.2358985,-1.1914284,-0.6413209,-1.9575914,-10.470774,Global,Global,51
-1.4927356,-2.4005244,-6.0020947,1.1647458,-2.1360033,-11.0141945,Global,Global,52
-0.33307454,0.62161607,-2.5681834,-0.23463005,0.08563444,-6.183419,Global,Global,53
-2.3654892,0.37496072,1.7637073,-0.1495763,-1.9342753,-7.1154833,Global,Global,54
0.7906412,0.062082622,0.005318237,0.02701755,0.113149844,-1.9116545,Good,Local,55
0.7875627,0.1294294,-0.0007280855,-0.15364406,0.03518776,-2.1218996,Good,Local,56
-3.58892,6.639004,-11.511618,-17.64902,-2.2432804,-19.499088,Global,Global,57
3.0842204,0.31681865,-0.41669312,-0.78244317,-0.89586073,-6.768054,Global,Global,58
-2.8769774,6.192527,-2.4385011,-3.2238011,-5.2536035,-13.121616,Global,Global,59
-1.8661231,1.1272565,-1.776755,-2.078134,-6.4195514,-10.957321,Global,Global,60
-0.44954467,-7.2388573,-9.357639,2.3379197,-6.5419245,-16.310246,Global,Global,61
0.22069705,0.8675786,0.15845685,-0.60268956,-0.68700635,-3.852149,Good,Local,62
1.0,0.01433374,-0.008196459,0.075513326,0.052356463,-1.8088846,Good,Local,63
-0.609415,0.030707195,1.0,0.07609377,-0.13544294,-2.9891024,Good,Local,64
-1.0,-0.48858514,1.0,1.0,-0.4558632,-4.5467787,Good,Local,65
-8.833783,0.12776291,-0.29930067,0.16529812,-0.14917475,-12.160229,Global,Global,66
-4.589119,3.7496896,-1.7706401,2.0610383,1.6256864,-10.847272,Global,Global,67
-1.8302482,-1.5795316,-2.2479804,0.6344908,-3.373497,-8.950301,Global,Global,68
-1.9479913,-2.6092372,-3.6915703,-2.8509943,-3.217634,-10.441495,Global,Global,69
-1.0844916,2.8719907,7.330878,-3.356664,-5.1440463,-13.33642,Global,Global,70
-1.0,0.2293853,1.0,-1.0,-0.3367239,-3.9751997,Good,Local,71
1.0,0.39695185,-0.15094292,1.0,0.32896894,-3.9500227,Good,Local,72
-3.842516,1.6760563,3.0671268,4.5839353,-0.781589,-10.925969,Global,Global,73
-2.90625,5.960989,-1.1154913,0.99531233,1.1965499,-9.759051,Global,Global,74
-0.1730011,-0.42742175,-0.38561383,0.08249317,4.8217587,-8.74464,Global,Global,75
-7.292033,0.62111616,-5.8513446,0.32135388,-7.801762,-15.096245,Global,Global,76
-8.059067,3.6711884,6.181583,-1.0290931,1.0176722,-13.402983,Global,Global,77
1.0,-0.33778137,-0.43727303,1.0,-0.2553836,-4.18192,Good,Local,78
-0.87545115,0.07864012,0.04856727,0.10551373,0.02794808,-1.873004,Good,Local,79
-9.577642,-4.7563357,-1.0188893,7.686593,-0.6162084,-15.7680235,Global,Global,80
-0.6314027,-0.7403375,-0.62010676,0.0046845013,0.36516282,-3.9724054,Global,Global,81
1.7789677,-2.3247025,0.94286656,-0.64371604,2.1007884,-7.269519,Global,Global,82
-3.1529424,-0.9136344,-2.669096,-3.0537949,-5.2703743,-10.994346,Global,Global,83
2.6108463,-0.7422193,-1.3659241,-2.3764243,2.591675,-8.975149,Global,Global,84
-1.0,-0.09420892,-0.19941863,-0.78815925,1.0,-3.4717245,Good,Local,85
-1.0,1.0,-1.0,-1.0,-1.0,-3.6253862,Good,Local,86
18.42186,5.9607964,-2.7759285,6.2444496,10.678787,-19.223759,Global,Global,87
-0.7578629,-2.6240752,2.4199781,0.941426,0.006088363,-7.3591843,Global,Global,88
-4.4980206,-6.3226385,9.376952,1.3885797,-1.1932999,-15.468789,Global,Global,89
-0.62220085,0.3171543,-0.38031784,-0.08633325,-0.5207314,-3.683734,Global,Global,90
3.254997,-2.3499367,8.08186,2.9375956,-9.901038,-15.364545,Global,Global,91
-1.0,1.0,-1.0,-1.0,1.0,-3.6253862,Good,Local,92
-1.0,0.0445543,0.01811183,0.07354072,0.04883502,-1.8244333,Good,Local,93
-2.1253233,1.1494025,0.44879493,0.66311294,0.46651357,-6.0562067,Global,Global,94
-8.571167,-3.3607807,-8.2177925,-0.36023796,1.3603559,-15.541072,Global,Global,95
-1.3467019,0.62551045,-4.983896,-7.445708,-13.276407,-17.216198,Global,Global,96
-3.28732,8.061616,10.332513,4.9887037,-0.4133955,-16.1357,Global,Global,97
-3.1892283,0.7725191,-10.792278,9.344864,0.40636694,-16.441612,Global,Global,98
-1.0,1.0,-0.0633944,-1.0,1.0,-3.3196974,Good,Local,99
-1.0,0.045760922,0.016617496,0.07684035,0.042204488,-1.8237562,Good,Local,100
