,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
98,0.0,1.75,0.0,1.5,0.5,3.7,0.0,0.0,0.0,0.75,15.077045906132268,Perfect Hindsight
99,0.0,1.25,0.0,1.0,1.0,4.7,0.0,0.0,0.0,0.25,21.797984595320077,Perfect Hindsight
100,0.0,0.5,0.0,0.25,0.25,2.2,0.0,0.0,0.25,1.5,5.614033011399588,Global
101,0.0,3.75,0.0,0.0,0.0,3.4000000000000004,0.0,0.0,0.0,0.75,7.709925057185558,Global
102,0.0,1.0,0.0,0.0,2.5,4.2,0.0,0.0,0.25,0.0,4.513946169813041,Global
103,0.0,0.75,0.0,1.5,0.0,3.0,0.0,0.0,0.0,0.75,6.658414447623889,Global
104,0.0,0.75,0.0,1.0,0.75,3.8000000000000003,0.25,0.0,0.0,0.5,20.5307100060649,Global
105,0.0,1.0,0.0,1.25,0.75,4.1,0.0,0.0,0.0,0.25,24.69930547984556,Perfect Hindsight
106,0.0,1.0,0.0,0.75,0.75,4.9,0.0,0.0,0.0,0.25,18.608041122776093,Perfect Hindsight
107,0.0,0.75,0.0,1.5,0.75,2.4000000000000004,0.5,0.25,0.0,0.0,1.5707566239416095,Global
108,0.0,0.25,0.0,2.0,0.75,1.6,0.0,0.0,0.0,0.5,3.223030927958901,Global
109,0.0,1.25,0.0,0.25,0.5,4.2,0.5,0.0,0.0,0.0,12.84851061592564,Global
110,0.0,1.5,0.0,0.5,0.25,3.2,0.25,0.25,0.0,0.25,2.2264677771494323,Global
111,0.0,0.75,0.0,0.5,1.0,2.6,0.25,0.0,0.0,1.0,9.02240683017941,Global
112,0.0,1.0,0.0,1.0,0.5,3.7,0.0,0.0,0.0,0.75,21.69278645833583,Perfect Hindsight
113,0.0,1.0,0.0,0.5,1.0,4.3,0.0,0.0,0.0,0.5,17.64303434058252,Perfect Hindsight
114,0.0,1.5,0.0,0.5,0.25,2.2,0.0,0.0,0.25,0.5,6.230215179473409,Global
115,0.0,2.25,0.0,0.0,0.5,3.0,0.0,0.0,0.25,0.25,6.5991369794698205,Global
116,0.0,0.5,0.0,1.5,0.0,4.0,0.0,0.0,0.0,1.75,5.006166979475416,Global
117,0.0,0.75,0.0,0.5,1.0,4.0,1.25,0.25,0.25,0.0,1.0247374207917848,Global
118,0.0,0.0,0.0,1.75,0.75,2.4000000000000004,0.5,0.0,0.25,0.0,2.1700541241121014,Global
119,0.0,1.0,0.0,0.75,1.0,4.7,0.0,0.0,0.0,0.25,17.99367613659707,Perfect Hindsight
120,0.0,1.25,0.0,0.75,1.0,4.5,0.0,0.0,0.0,0.25,20.43026618540689,Perfect Hindsight
121,0.0,1.5,0.0,0.25,0.75,2.6,0.25,0.0,0.75,0.25,1.5776233117589562,Global
122,0.25,1.5,0.0,0.5,0.5,4.6,0.25,0.0,0.0,0.25,7.332625643890545,Global
123,0.0,0.75,0.0,2.75,0.0,3.0,0.0,0.0,0.0,0.5,2.7721224822200554,Global
